Date,Open,High,Low,Close,Volume
2025-07-01,50.1,50.3,49.8,50.2,70000000
2025-07-02,50.2,50.5,49.9,50.1,72000000
2025-07-03,50.1,50.2,49.5,49.8,75000000
2025-07-04,49.8,49.9,49.5,49.6,78000000
2025-07-05,49.6,49.7,49.1,49.2,80000000
2025-07-06,49.2,49.3,48.8,48.9,79000000
2025-07-07,48.9,49.0,48.5,48.6,81000000
2025-07-08,48.6,48.7,48.1,48.2,84000000
2025-07-09,48.2,48.3,47.8,47.9,86000000
2025-07-10,47.9,48.0,47.5,47.6,83000000
2025-07-11,47.6,47.7,47.1,47.2,82000000
2025-07-12,47.2,47.3,46.8,46.9,80000000
2025-07-13,46.9,47.0,46.5,46.6,78000000
2025-07-14,46.6,46.7,46.1,46.2,79000000
2025-07-15,46.2,46.3,45.8,45.9,77000000
2025-07-16,45.9,46.0,45.5,45.6,81000000
2025-07-17,45.6,45.7,45.1,45.2,80000000
2025-07-18,45.2,45.3,44.8,44.9,83000000
2025-07-19,44.9,45.0,44.5,44.6,82000000
2025-07-20,44.6,44.7,44.1,44.2,81000000
2025-07-21,44.2,44.3,43.8,43.9,84000000
2025-07-22,43.9,44.0,43.5,43.6,83000000
2025-07-23,43.6,43.7,43.1,43.2,85000000
2025-07-24,43.2,43.3,42.8,42.9,88000000
2025-07-25,42.9,43.0,42.5,42.6,87000000
2025-07-26,42.6,42.7,42.1,42.2,86000000
2025-07-27,42.2,42.3,41.8,41.9,90000000
2025-07-28,41.9,42.0,41.5,41.6,92000000
2025-07-29,41.6,41.7,41.1,41.2,91000000
2025-07-30,41.2,41.3,40.8,40.9,94000000
2025-07-31,40.9,41.0,40.5,40.6,98000000
2025-08-01,40.6,40.7,40.1,40.2,100000000
2025-08-02,40.2,40.3,39.8,39.9,99000000
2025-08-03,39.9,40.0,39.5,39.6,102000000
2025-08-04,39.6,39.7,39.1,39.2,101000000
2025-08-05,39.2,39.3,38.8,38.9,103000000
2025-08-06,38.9,39.0,38.5,38.6,102000000
2025-08-07,38.6,38.7,38.1,38.2,105000000
2025-08-08,38.2,38.3,37.8,37.9,108000000
2025-08-09,37.9,38.0,37.5,37.6,107000000
2025-08-10,37.6,37.7,37.1,37.2,106000000
2025-08-11,37.2,37.3,36.8,36.9,109000000
2025-08-12,36.9,37.0,36.5,36.6,110000000
2025-08-13,36.6,36.7,36.1,36.2,108000000
2025-08-14,36.2,36.3,35.8,35.9,111000000
2025-08-15,35.9,36.0,35.5,35.6,110000000
2025-08-16,35.6,35.7,35.1,35.2,113000000
2025-08-17,35.2,35.3,34.8,34.9,112000000
2025-08-18,34.9,35.0,34.5,34.6,115000000
2025-08-19,34.6,34.7,34.1,34.2,118000000
2025-08-20,34.2,34.3,33.8,33.9,117000000
2025-08-21,33.9,34.0,33.5,33.6,120000000
2025-08-22,33.6,33.7,33.1,33.2,124000000
2025-08-23,33.2,33.3,32.8,32.9,126000000
2025-08-24,32.9,33.0,32.5,32.6,123000000
2025-08-25,32.6,32.7,32.1,32.2,122000000
2025-08-26,32.2,32.3,31.8,31.9,120000000
2025-08-27,31.9,32.0,31.5,31.6,118000000
2025-08-28,31.6,31.7,31.1,31.2,119000000
2025-08-29,31.2,31.3,30.8,30.9,117000000
