Timestamp,Validee,Ticker,Source,Signal,Strategy,Direction,Entry,Stop Loss,TP1,TP2,Confidence Score,Catalyst,Summary,JMoney Confirmed,Reasoning
2025-09-02 16:44:39,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:44:39,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:44:39,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:44:39,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:44:39,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:44:55,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:44:55,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:44:55,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:44:55,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:44:55,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:45:05,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:45:05,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:45:05,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:45:05,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:45:05,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:45:12,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:45:12,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:45:12,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:45:12,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:45:12,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:26,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:26,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:26,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:46:26,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:46:26,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:40,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:40,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:40,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:46:40,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:46:40,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:47,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:47,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[Reuters] Pfizer (PFE) stock tumbles after Phase 3 trial fails...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:47,🟡,SHOP,CoinDesk,Hold,Neutral,Neutral,74.5,73.53 (ref),75.9 (ref),77.29 (ref),4.4,None,[Bloomberg] Shopify (SHOP) enters choppy trading range...,NO,Failed: Tech score low: 4 (need ≥7.5)
2025-09-02 16:46:47,⚪,GME,CoinDesk,Avoid,Caution,Neutral,194.8,186.44 (ref),206.17 (ref),217.53 (ref),3.6,Insider,[WSJ] Gamestop (GME) sees massive price spike on low volume...,NO,Failed: Tech score low: 5 (need ≥7.5)
2025-09-02 16:46:47,🔴,PFE,CoinDesk,Sell,Boost,Short,30.9,32.13,28.68 (7.2%),26.46 (14.4%),8.0,FDA,[STAT News] Pfizer (PFE) announces disappointing trial results for new drug.,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
2025-09-02 16:46:53,🟢,AAPL,CoinDesk,Buy,Boost,Long,187.2,183.58,193.56 (3.4%),199.93 (6.8%),7.6,Earnings,[YahooFinance] Apple (AAPL) announces record iPhone sales...,YES,"Boost: Tech score: 8/10, Macro score: 8/10"
