Date,Open,High,Low,Close,Volume
2025-07-01,20.1,20.6,19.8,20.2,2000000
2025-07-02,20.2,20.8,20.0,20.5,2200000
2025-07-03,20.5,21.0,20.3,20.8,2100000
2025-07-04,20.8,21.5,20.7,21.2,2500000
2025-07-05,21.2,21.8,21.0,21.5,2800000
2025-07-06,21.5,22.5,21.2,22.3,2600000
2025-07-07,22.3,23.3,22.1,23.1,2300000
2025-07-08,23.1,24.8,22.9,24.5,2200000
2025-07-09,24.5,25.5,24.1,25.2,2000000
2025-07-10,25.2,28.9,25.0,28.8,1800000
2025-07-11,28.8,35.1,28.5,34.5,1500000
2025-07-12,34.5,45.5,33.9,44.2,1200000
2025-07-13,44.2,46.1,43.5,45.9,1100000
2025-07-14,45.9,47.2,45.5,46.8,1000000
2025-07-15,46.8,48.5,46.3,48.2,900000
2025-07-16,48.2,50.1,47.8,49.9,800000
2025-07-17,49.9,52.3,49.5,51.8,700000
2025-07-18,51.8,55.0,51.2,54.5,600000
2025-07-19,54.5,58.2,53.9,57.8,500000
2025-07-20,57.8,62.1,57.2,61.5,400000
2025-07-21,61.5,65.3,60.9,64.8,300000
2025-07-22,64.8,68.2,64.1,67.9,200000
2025-07-23,67.9,72.1,67.2,71.5,100000
2025-07-24,71.5,75.3,70.9,74.8,50000
2025-07-25,74.8,78.2,74.1,77.9,25000
2025-07-26,77.9,82.1,77.2,81.5,10000
2025-07-27,81.5,85.3,80.9,84.8,5000
2025-07-28,84.8,88.2,84.1,87.9,2500
2025-07-29,87.9,92.1,87.2,91.5,1000
2025-07-30,91.5,95.3,90.9,94.8,500
2025-07-31,94.8,98.2,94.1,97.9,250
2025-08-01,97.9,102.1,97.2,101.5,100
2025-08-02,101.5,105.3,100.9,104.8,50
2025-08-03,104.8,108.2,104.1,107.9,25
2025-08-04,107.9,112.1,107.2,111.5,10
2025-08-05,111.5,115.3,110.9,114.8,5
2025-08-06,114.8,118.2,114.1,117.9,2
2025-08-07,117.9,122.1,117.2,121.5,1
2025-08-08,121.5,125.3,120.9,124.8,1
2025-08-09,124.8,128.2,124.1,127.9,1
2025-08-10,127.9,132.1,127.2,131.5,1
2025-08-11,131.5,135.3,130.9,134.8,1
2025-08-12,134.8,138.2,134.1,137.9,1
2025-08-13,137.9,142.1,137.2,141.5,1
2025-08-14,141.5,145.3,140.9,144.8,1
2025-08-15,144.8,148.2,144.1,147.9,1
2025-08-16,147.9,152.1,147.2,151.5,1
2025-08-17,151.5,155.3,150.9,154.8,1
2025-08-18,154.8,158.2,154.1,157.9,1
2025-08-19,157.9,162.1,157.2,161.5,1
2025-08-20,161.5,165.3,160.9,164.8,1
2025-08-21,164.8,168.2,164.1,167.9,1
2025-08-22,167.9,172.1,167.2,171.5,1
2025-08-23,171.5,175.3,170.9,174.8,1
2025-08-24,174.8,178.2,174.1,177.9,1
2025-08-25,177.9,182.1,177.2,181.5,1
2025-08-26,181.5,185.3,180.9,184.8,1
2025-08-27,184.8,188.2,184.1,187.9,1
2025-08-28,187.9,192.1,187.2,191.5,1
2025-08-29,191.5,195.3,190.9,194.8,1
